track_album_release_year,feature,median,mean
1986,energy,0.715,0.6574
1986,acousticness,0.0778,0.1714
1986,instrumentalness,0.0002,0.0301
1986,speechiness,0.0369,0.0472
1980,danceability,0.559,0.5656
1980,loudness,0.1257,0.1421
1980,liveness,0.118,0.1938
1980,valence,0.646,0.6339
1980,energy,0.723,0.7065
1980,acousticness,0.13,0.1917
1980,instrumentalness,0.0009,0.0445
1980,speechiness,0.0471,0.0606
1983,danceability,0.626,0.6047
1983,loudness,0.1275,0.1456
1983,liveness,0.142,0.19
1983,valence,0.636,0.6314
1983,energy,0.778,0.7301
1983,acousticness,0.0489,0.1212
1983,instrumentalness,0.0005,0.0539
1983,speechiness,0.0382,0.0529
1985,danceability,0.625,0.6134
1985,loudness,0.1491,0.1619
1985,liveness,0.1085,0.167
1985,valence,0.6445,0.6191
1985,energy,0.675,0.6565
1985,acousticness,0.168,0.2277
1985,instrumentalness,0.0,0.0679
1985,speechiness,0.0364,0.0447
1989,danceability,0.673,0.6447
1989,loudness,0.1733,0.1702
1989,liveness,0.13,0.1734
1989,valence,0.672,0.656
1989,energy,0.72,0.6996
1989,acousticness,0.0504,0.1351
1989,instrumentalness,0.0004,0.0527
1989,speechiness,0.0445,0.0641
1975,danceability,0.506,0.5178
1975,loudness,0.169,0.1833
1975,liveness,0.117,0.2107
1975,valence,0.586,0.5567
1975,energy,0.586,0.5652
1975,acousticness,0.252,0.3202
1975,instrumentalness,0.0004,0.0417
1975,speechiness,0.0418,0.0478
1968,danceability,0.468,0.4812
1968,loudness,0.1867,0.1869
1968,liveness,0.169,0.211
1968,valence,0.566,0.6297
1968,energy,0.59,0.5985
1968,acousticness,0.236,0.2184
1968,instrumentalness,0.0002,0.1925
1968,speechiness,0.0407,0.0561
1971,danceability,0.489,0.5085
1971,loudness,0.1694,0.175
1971,liveness,0.1255,0.1906
1971,valence,0.5265,0.5204
1971,energy,0.6215,0.6029
1971,acousticness,0.307,0.3549
1971,instrumentalness,0.018,0.0963
1971,speechiness,0.0392,0.0472
1967,danceability,0.499,0.4794
1967,loudness,0.1627,0.1631
1967,liveness,0.1405,0.2088
1967,valence,0.574,0.5468
1967,energy,0.479,0.5426
1967,acousticness,0.368,0.37
1967,instrumentalness,0.0,0.0763
1967,speechiness,0.0373,0.0404
1972,danceability,0.575,0.5574
1972,loudness,0.1699,0.1814
1972,liveness,0.122,0.1932
1972,valence,0.718,0.6522
1972,energy,0.5835,0.594
1972,acousticness,0.222,0.2913
1972,instrumentalness,0.0002,0.0683
1972,speechiness,0.0351,0.0461
1966,danceability,0.505,0.4949
1966,loudness,0.1429,0.1647
1966,liveness,0.137,0.2378
1966,valence,0.693,0.6166
1966,energy,0.629,0.6361
1966,acousticness,0.14,0.2457
1966,instrumentalness,0.0022,0.0266
1966,speechiness,0.0565,0.0587
1965,danceability,0.532,0.5445
1965,loudness,0.138,0.148
1965,liveness,0.1205,0.1343
1965,valence,0.6975,0.6643
1965,energy,0.752,0.6717
1965,acousticness,0.477,0.4274
1965,instrumentalness,0.0,0.0047
1965,speechiness,0.0414,0.0471
1964,danceability,0.57,0.5818
1964,loudness,0.1188,0.1242
1964,liveness,0.1035,0.1463
1964,valence,0.727,0.7123
1964,energy,0.749,0.6618
1964,acousticness,0.4525,0.4798
1964,instrumentalness,0.0,0.0
1964,speechiness,0.059,0.0594
1963,danceability,0.491,0.4778
1963,loudness,0.1639,0.1972
1963,liveness,0.0691,0.0821
1963,valence,0.494,0.6218
1963,energy,0.76,0.5622
1963,acousticness,0.52,0.5908
1963,instrumentalness,0.0004,0.0021
1963,speechiness,0.0394,0.0403
1962,danceability,0.816,0.816
1962,loudness,0.1457,0.1457
1962,liveness,0.0899,0.0899
1962,valence,0.912,0.912
1962,energy,0.514,0.514
1962,acousticness,0.767,0.767
1962,instrumentalness,0.949,0.949
1962,speechiness,0.0339,0.0339
1957,danceability,0.5195,0.5195
1957,loudness,0.0667,0.0667
1957,liveness,0.07,0.07
1957,valence,0.9115,0.9115
1957,energy,0.78,0.78
1957,acousticness,0.6025,0.6025
1957,instrumentalness,0.0,0.0
1957,speechiness,0.0806,0.0806
1958,danceability,0.647,0.647
1958,loudness,0.159,0.159
1958,liveness,0.0715,0.0715
1958,valence,0.915,0.915
1958,energy,0.582,0.582
1958,acousticness,0.41,0.41
1958,instrumentalness,0.0,0.0
1958,speechiness,0.0755,0.0755
1961,danceability,0.585,0.585
1961,loudness,0.2358,0.2358
1961,liveness,0.0908,0.0908
1961,valence,0.433,0.433
1961,energy,0.036,0.036
1961,acousticness,0.859,0.859
1961,instrumentalness,0.0,0.0
1961,speechiness,0.0418,0.0418
1960,danceability,0.524,0.46
1960,loudness,0.1648,0.1454
1960,liveness,0.316,0.4393
1960,valence,0.876,0.6917
1960,energy,0.543,0.523
1960,acousticness,0.73,0.7283
1960,instrumentalness,0.0,0.0002
1960,speechiness,0.0397,0.0493
